Data;Hora;Profissional;Categoria Serviço;Serviço;Cliente;Sexo;Valor;Fechamento Conta;Status
02/05/2023;09:30;Profissional 1;Cuidados com Cabelo;Aplicação de Coloração do cliente raiz;Cliente 1;Feminino;80;Fechada;Finalizado
02/05/2023;09:30;Profissional 1;Cuidados com Cabelo;Null;Cliente 1;Feminino;35;Fechada;Finalizado
02/05/2023;09:30;Profissional 1;Cuidados com Cabelo;Escova G;Cliente 1;Feminino;65;Fechada;Finalizado
02/05/2023;09:30;Profissional 2;Cuidados com Cabelo;Escova G;Cliente 2;Feminino;58,5;Fechada;Finalizado
02/05/2023;09:30;Profissional 3;Cuidados com Cabelo;Corte FEMININO;Cliente 2;Feminino;120;Fechada;Finalizado
02/05/2023;10:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 3;Feminino;45;Fechada;Finalizado
02/05/2023;10:00;Profissional 5;Cuidados com Cabelo;Coloração Keune;Cliente 3;Feminino;155;Fechada;Finalizado
02/05/2023;10:00;Profissional 5;Cuidados com Cabelo;Hidratação Senscience, Olorche, Keune, Joico G;Cliente 3;Feminino;165;Fechada;Finalizado
02/05/2023;11:00;Profissional 2;Cuidados com Cabelo;Escova M;Cliente 4;Feminino;55;Fechada;Finalizado
02/05/2023;11:00;Profissional 4;Mãos e Pés;Top Coat em gel;Cliente 3;Feminino;20;Fechada;Finalizado
02/05/2023;12:00;Profissional 5;Cuidados com Cabelo;Escova M;Cliente 4;Feminino;45;Aberta;Cancelado
02/05/2023;14:30;Profissional 6;Mãos e Pés;Manicure;Cliente 1;Feminino;27;Fechada;Finalizado
02/05/2023;15:30;Profissional 4;Mãos e Pés;Esmaltação - Mãos;Cliente 5;Feminino;15;Fechada;Finalizado
02/05/2023;15:30;Profissional 2;Cuidados com Cabelo;Escova M;Cliente 5;Feminino;55;Fechada;Finalizado
02/05/2023;15:30;Profissional 2;Cuidados com Cabelo;Null;Cliente 5;Feminino;40;Fechada;Finalizado
03/05/2023;09:30;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 6;Feminino;45;Fechada;Finalizado
03/05/2023;10:00;Profissional 5;Cuidados com Cabelo;Realinhamento Capilar Salvatore;Cliente 6;Feminino;310;Fechada;Finalizado
03/05/2023;12:30;Profissional 6;Mãos e Pés;Manicure e Pedicure;Cliente 7;Feminino;45;Fechada;Finalizado
03/05/2023;12:30;Profissional 2;Cuidados com Cabelo;Escova G;Cliente 7;Feminino;65;Fechada;Finalizado
03/05/2023;15:00;Profissional 2;Cuidados com Cabelo;Escova G;Cliente 8;Feminino;65;Fechada;Finalizado
03/05/2023;16:00;Profissional 6;Mãos e Pés;Manicure;Cliente 1;Feminino;27;Aberta;Cancelado
04/05/2023;09:00;Profissional 4;Mãos e Pés;Manicure e Pedicure;Cliente 9;Feminino;45;Fechada;Finalizado
04/05/2023;09:00;Profissional 2;Cuidados com Cabelo;Reconstrução JOICO K-PAK,OLORCHE OU CPR M;Cliente 9;Feminino;146;Fechada;Finalizado
04/05/2023;10:00;Profissional 1;Cuidados com Cabelo;Escova G;Cliente 1;Feminino;65;Fechada;Finalizado
04/05/2023;10:00;Profissional 1;Cuidados com Cabelo;Null;Cliente 1;Feminino;35;Fechada;Finalizado
04/05/2023;10:00;Profissional 1;Cuidados com Cabelo;Corte FEMININO;Cliente 1;Feminino;120;Fechada;Finalizado
04/05/2023;10:30;Profissional 2;Cuidados com Cabelo;Coloração Keune;Cliente 10;Feminino;155;Fechada;Finalizado
04/05/2023;10:30;Profissional 2;Cuidados com Cabelo;Nutrição KEUNE YOU P;Cliente 10;Feminino;175;Fechada;Finalizado
