id_cliente,servicos_recomendados
155,"['Escova G', 'Manicure e Pedicure', '#NOME?', 'Manicure', 'Cabelo e Barba', 'Barba', 'Coloração Keune', 'Pedicure', 'Esmaltação - Mãos', 'Nutrição P.H', 'Manicure e Pedicure - Francesinha', 'Banho em Gel', 'Manutenção Banho em Gel', 'Esmaltação - Pés', 'Lavar e Secar P', 'Corte FEMININO', 'Nutrição KEUNE YOU G', 'Design de Sobrancelha', 'Nutrição KEUNE YOU P', 'Unha Artística/Decorada', 'Nutrição KEUNE YOU M', 'Mechas', 'Penteado', 'Manutenção Soft Gel', 'Unha de Gel - Manutenção', 'Manutenção volume brasileiro', 'Postiça', 'Pezinho Masculino', 'Pigmentação de Barba', 'Pintura Sobrancelhas - Henna', 'Top Coat em gel', 'Postiça Realista', 'Pure Repair P.H', 'Reconstrução JOICO K-PAK, OLORCHE  OU CPR P', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR G', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR M', 'Remoção', 'SPA de pés', 'Sem referencia', 'Terapia Capilar com ozonio', 'Terapia Capilar pacote', 'MATIZAÇÃO M', 'Hidratação Wella', 'Lavar e Secar M', 'Escova M', 'Aplicação de Coloração do cliente raiz', 'Aplicação de Coloração total do cliente', 'Aplicação de cílios', 'BABYLISS  G', 'BABYLISS  P', 'BABYLISS M', 'Base', 'Cilios 3, 4, 5 D', 'Coloração Keune Ruivo', 'Corte - Franja', 'Corte Infantil', 'Corte Masculino', 'Corte Parceria', 'Escova GG', 'Escova P', 'Lavar e Secar G', 'Escova e Prancha', 'Escova+ PRANCHA  P', 'Esmaltação  - ESPECIAL', 'Hidratação Previa', 'Hidratação Senscience, Olorche, Keune, Joico G', 'Hidratação Senscience, Olorche, Keune, Joico P', 'Hidratação Senscience, Orloche, Keune, Joico M', 'Hidratação Takae G', 'Hidratação Takae GG', 'Hidratação Takae M', 'Hidratação Takae P', 'Alongamento Soft Gel', 'LIXAR PÉS', 'Lavar', 'hidratação Muzza']"
119,"['Coloração Keune', 'Manicure', 'Corte FEMININO', 'Manicure e Pedicure', 'Hidratação Senscience, Olorche, Keune, Joico G', 'Escova G', 'Design de Sobrancelha', 'Corte Masculino', 'Coloração Keune Ruivo', 'Pedicure', 'Nutrição P.H', 'Pure Repair P.H', 'Hidratação Previa', 'Hidratação Senscience, Olorche, Keune, Joico P', 'Pintura Sobrancelhas - Henna', 'Escova M', 'Lavar e Secar G', 'Remoção', 'Alongamento Soft Gel', 'Corte - Franja', 'Hidratação Senscience, Orloche, Keune, Joico M', 'Manutenção volume brasileiro', 'Nutrição KEUNE YOU G', 'Manutenção Soft Gel', 'Manutenção Banho em Gel', 'Mechas', 'Nutrição KEUNE YOU P', 'Manicure e Pedicure - Francesinha', 'Nutrição KEUNE YOU M', '#NOME?', 'Penteado', 'Pezinho Masculino', 'Pigmentação de Barba', 'Postiça Realista', 'Reconstrução JOICO K-PAK, OLORCHE  OU CPR P', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR G', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR M', 'SPA de pés', 'Sem referencia', 'Terapia Capilar com ozonio', 'Terapia Capilar pacote', 'Top Coat em gel', 'Unha Artística/Decorada', 'Unha de Gel - Manutenção', 'Postiça', 'Hidratação Wella', 'MATIZAÇÃO M', 'Lavar e Secar P', 'Aplicação de Coloração do cliente raiz', 'Aplicação de Coloração total do cliente', 'Aplicação de cílios', 'BABYLISS  G', 'BABYLISS  P', 'BABYLISS M', 'Banho em Gel', 'Barba', 'Base', 'Cabelo e Barba', 'Cilios 3, 4, 5 D', 'Corte Infantil', 'Corte Parceria', 'Escova GG', 'Escova P', 'Escova e Prancha', 'Escova+ PRANCHA  P', 'Esmaltação  - ESPECIAL', 'Esmaltação - Mãos', 'Esmaltação - Pés', 'Hidratação Takae G', 'Hidratação Takae GG', 'Hidratação Takae M', 'Hidratação Takae P', 'LIXAR PÉS', 'Lavar', 'Lavar e Secar M', 'hidratação Muzza']"
332,"['Manicure e Pedicure', 'Manicure', 'Top Coat em gel', 'Corte Infantil', 'Pedicure', 'Corte Masculino', 'Manicure e Pedicure - Francesinha', 'Esmaltação  - ESPECIAL', 'Hidratação Senscience, Olorche, Keune, Joico G', 'Coloração Keune', 'Escova G', 'Escova M', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR M', 'Penteado', 'Mechas', 'Nutrição KEUNE YOU G', 'Nutrição KEUNE YOU M', 'Nutrição KEUNE YOU P', 'Manutenção volume brasileiro', 'Manutenção Soft Gel', 'Nutrição P.H', 'Manutenção Banho em Gel', 'MATIZAÇÃO M', '#NOME?', 'Pigmentação de Barba', 'Pezinho Masculino', 'Lavar e Secar M', 'Pintura Sobrancelhas - Henna', 'Postiça', 'Postiça Realista', 'Pure Repair P.H', 'Reconstrução JOICO K-PAK, OLORCHE  OU CPR P', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR G', 'Remoção', 'SPA de pés', 'Sem referencia', 'Terapia Capilar com ozonio', 'Terapia Capilar pacote', 'Unha Artística/Decorada', 'Unha de Gel - Manutenção', 'Lavar e Secar P', 'Hidratação Wella', 'Lavar e Secar G', 'Barba', 'Corte FEMININO', 'Corte - Franja', 'Coloração Keune Ruivo', 'Cilios 3, 4, 5 D', 'Cabelo e Barba', 'Base', 'Banho em Gel', 'Lavar', 'BABYLISS M', 'BABYLISS  P', 'BABYLISS  G', 'Aplicação de cílios', 'Aplicação de Coloração total do cliente', 'Aplicação de Coloração do cliente raiz', 'Corte Parceria', 'Design de Sobrancelha', 'Escova GG', 'Escova P', 'Escova e Prancha', 'Escova+ PRANCHA  P', 'Esmaltação - Mãos', 'Esmaltação - Pés', 'Hidratação Previa', 'Hidratação Senscience, Olorche, Keune, Joico P', 'Hidratação Senscience, Orloche, Keune, Joico M', 'Hidratação Takae G', 'Hidratação Takae GG', 'Hidratação Takae M', 'Hidratação Takae P', 'Alongamento Soft Gel', 'LIXAR PÉS', 'hidratação Muzza']"
318,"['Manicure e Pedicure', 'Manicure', 'Coloração Keune', 'Nutrição P.H', 'Pedicure', 'Corte FEMININO', 'Mechas', 'Manicure e Pedicure - Francesinha', 'Penteado', 'Escova M', 'Design de Sobrancelha', 'Reconstrução JOICO K-PAK, OLORCHE  OU CPR P', 'Top Coat em gel', 'Hidratação Previa', 'Hidratação Senscience, Olorche, Keune, Joico P', 'Hidratação Senscience, Orloche, Keune, Joico M', 'Esmaltação - Pés', 'Nutrição KEUNE YOU M', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR M', 'Remoção', 'SPA de pés', 'Banho em Gel', 'Manutenção Banho em Gel', 'Terapia Capilar com ozonio', 'Manutenção volume brasileiro', 'Manutenção Soft Gel', 'Nutrição KEUNE YOU G', '#NOME?', 'Pigmentação de Barba', 'Nutrição KEUNE YOU P', 'Pezinho Masculino', 'Lavar e Secar P', 'Pintura Sobrancelhas - Henna', 'Postiça', 'Postiça Realista', 'Pure Repair P.H', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR G', 'Sem referencia', 'Terapia Capilar pacote', 'Unha Artística/Decorada', 'Unha de Gel - Manutenção', 'MATIZAÇÃO M', 'Hidratação Wella', 'Lavar e Secar M', 'Corte Parceria', 'Aplicação de Coloração do cliente raiz', 'Aplicação de Coloração total do cliente', 'Aplicação de cílios', 'BABYLISS  G', 'BABYLISS  P', 'BABYLISS M', 'Barba', 'Base', 'Cabelo e Barba', 'Cilios 3, 4, 5 D', 'Coloração Keune Ruivo', 'Corte - Franja', 'Corte Infantil', 'Corte Masculino', 'Escova G', 'Lavar e Secar G', 'Escova GG', 'Escova P', 'Escova e Prancha', 'Escova+ PRANCHA  P', 'Esmaltação  - ESPECIAL', 'Esmaltação - Mãos', 'Hidratação Senscience, Olorche, Keune, Joico G', 'Hidratação Takae G', 'Hidratação Takae GG', 'Hidratação Takae M', 'Hidratação Takae P', 'Alongamento Soft Gel', 'LIXAR PÉS', 'Lavar', 'hidratação Muzza']"
241,"['Manicure e Pedicure', 'Escova G', '#NOME?', 'Coloração Keune', 'Manicure', 'Corte FEMININO', 'Top Coat em gel', 'Hidratação Senscience, Olorche, Keune, Joico P', 'Mechas', 'Esmaltação  - ESPECIAL', 'Pedicure', 'Design de Sobrancelha', 'Lavar e Secar P', 'Esmaltação - Mãos', 'Nutrição P.H', 'Hidratação Senscience, Orloche, Keune, Joico M', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR M', 'hidratação Muzza', 'Corte Masculino', 'Postiça', 'Manutenção Soft Gel', 'Manutenção volume brasileiro', 'BABYLISS  P', 'Nutrição KEUNE YOU G', 'Nutrição KEUNE YOU M', 'Nutrição KEUNE YOU P', 'BABYLISS  G', 'Aplicação de cílios', 'Penteado', 'Pezinho Masculino', 'Pigmentação de Barba', 'Pintura Sobrancelhas - Henna', 'Postiça Realista', 'Corte Parceria', 'Pure Repair P.H', 'Reconstrução JOICO K-PAK, OLORCHE  OU CPR P', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR G', 'Aplicação de Coloração total do cliente', 'Remoção', 'SPA de pés', 'Sem referencia', 'Terapia Capilar com ozonio', 'Terapia Capilar pacote', 'Aplicação de Coloração do cliente raiz', 'Unha Artística/Decorada', 'Unha de Gel - Manutenção', 'Manutenção Banho em Gel', 'Manicure e Pedicure - Francesinha', 'BABYLISS M', 'Banho em Gel', 'Corte Infantil', 'Corte - Franja', 'Escova GG', 'Escova M', 'Escova P', 'Escova e Prancha', 'Escova+ PRANCHA  P', 'Coloração Keune Ruivo', 'Cilios 3, 4, 5 D', 'Esmaltação - Pés', 'Hidratação Previa', 'Hidratação Senscience, Olorche, Keune, Joico G', 'Cabelo e Barba', 'Base', 'Hidratação Takae G', 'Hidratação Takae GG', 'Hidratação Takae M', 'Hidratação Takae P', 'Alongamento Soft Gel', 'LIXAR PÉS', 'Lavar', 'Lavar e Secar G', 'Lavar e Secar M', 'Barba', 'MATIZAÇÃO M', 'Hidratação Wella']"
370,"['Manicure e Pedicure', 'Manicure', 'Escova M', 'Coloração Keune', 'Pedicure', 'Mechas', 'Manicure e Pedicure - Francesinha', 'Penteado', 'Corte FEMININO', 'Reconstrução JOICO K-PAK, OLORCHE  OU CPR P', 'Nutrição P.H', 'SPA de pés', 'Design de Sobrancelha', 'Top Coat em gel', 'Esmaltação - Pés', 'Manutenção Banho em Gel', 'Hidratação Senscience, Olorche, Keune, Joico P', 'Hidratação Senscience, Orloche, Keune, Joico M', 'Hidratação Takae P', 'Hidratação Previa', '#NOME?', 'Banho em Gel', 'Aplicação de Coloração do cliente raiz', 'Unha Artística/Decorada', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR M', 'Remoção', 'Terapia Capilar com ozonio', 'MATIZAÇÃO M', 'Unha de Gel - Manutenção', 'Manutenção Soft Gel', 'Terapia Capilar pacote', 'Manutenção volume brasileiro', 'Nutrição KEUNE YOU G', 'Sem referencia', 'Pigmentação de Barba', 'Nutrição KEUNE YOU M', 'Nutrição KEUNE YOU P', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR G', 'Pure Repair P.H', 'Postiça Realista', 'Pezinho Masculino', 'Postiça', 'Pintura Sobrancelhas - Henna', 'Hidratação Wella', 'Lavar e Secar P', 'Lavar e Secar M', 'Aplicação de Coloração total do cliente', 'Aplicação de cílios', 'BABYLISS  G', 'BABYLISS  P', 'BABYLISS M', 'Barba', 'Base', 'Cabelo e Barba', 'Cilios 3, 4, 5 D', 'Coloração Keune Ruivo', 'Corte - Franja', 'Corte Infantil', 'Corte Masculino', 'Corte Parceria', 'Escova G', 'Escova GG', 'Escova P', 'Escova e Prancha', 'Escova+ PRANCHA  P', 'Esmaltação  - ESPECIAL', 'Esmaltação - Mãos', 'Hidratação Senscience, Olorche, Keune, Joico G', 'Hidratação Takae G', 'Hidratação Takae GG', 'Hidratação Takae M', 'Alongamento Soft Gel', 'LIXAR PÉS', 'Lavar', 'Lavar e Secar G', 'hidratação Muzza']"
216,"['Manicure e Pedicure', 'Manicure', 'Cabelo e Barba', 'Coloração Keune', 'Nutrição P.H', 'Corte Masculino', 'Pedicure', 'Corte FEMININO', 'Nutrição KEUNE YOU M', 'Design de Sobrancelha', 'Mechas', 'Pigmentação de Barba', 'Nutrição KEUNE YOU G', 'Manutenção volume brasileiro', 'Manutenção Soft Gel', 'Nutrição KEUNE YOU P', 'Manutenção Banho em Gel', 'Manicure e Pedicure - Francesinha', 'MATIZAÇÃO M', 'Lavar e Secar P', 'Penteado', 'Pezinho Masculino', '#NOME?', 'Pintura Sobrancelhas - Henna', 'SPA de pés', 'Unha de Gel - Manutenção', 'Unha Artística/Decorada', 'Top Coat em gel', 'Terapia Capilar pacote', 'Terapia Capilar com ozonio', 'Sem referencia', 'Remoção', 'Lavar e Secar G', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR M', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR G', 'Reconstrução JOICO K-PAK, OLORCHE  OU CPR P', 'Pure Repair P.H', 'Postiça Realista', 'Postiça', 'Lavar e Secar M', 'Hidratação Wella', 'Lavar', 'Barba', 'Corte Parceria', 'Corte Infantil', 'Corte - Franja', 'Coloração Keune Ruivo', 'Cilios 3, 4, 5 D', 'Base', 'Banho em Gel', 'Escova GG', 'BABYLISS M', 'BABYLISS  P', 'BABYLISS  G', 'Aplicação de cílios', 'Aplicação de Coloração total do cliente', 'Aplicação de Coloração do cliente raiz', 'Escova G', 'Escova M', 'LIXAR PÉS', 'Hidratação Senscience, Olorche, Keune, Joico P', 'Alongamento Soft Gel', 'Hidratação Takae P', 'Hidratação Takae M', 'Hidratação Takae GG', 'Hidratação Takae G', 'Hidratação Senscience, Orloche, Keune, Joico M', 'Hidratação Senscience, Olorche, Keune, Joico G', 'Escova P', 'Hidratação Previa', 'Esmaltação - Pés', 'Esmaltação - Mãos', 'Esmaltação  - ESPECIAL', 'Escova+ PRANCHA  P', 'Escova e Prancha', 'hidratação Muzza']"
93,"['Escova G', '#NOME?', 'Manicure', 'Aplicação de Coloração do cliente raiz', 'Manicure e Pedicure', 'Esmaltação - Mãos', 'Escova M', 'Escova P', 'Corte FEMININO', 'Pedicure', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR G', 'Lavar', 'LIXAR PÉS', 'Alongamento Soft Gel', 'Manutenção Soft Gel', 'Aplicação de Coloração total do cliente', 'BABYLISS  G', 'Remoção', 'Cilios 3, 4, 5 D', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR M', 'Nutrição KEUNE YOU P', 'Manicure e Pedicure - Francesinha', 'Unha Artística/Decorada', 'Top Coat em gel', 'Terapia Capilar pacote', 'Manutenção Banho em Gel', 'Terapia Capilar com ozonio', 'Manutenção volume brasileiro', 'Mechas', 'Nutrição KEUNE YOU G', 'Nutrição KEUNE YOU M', 'Nutrição P.H', 'Reconstrução JOICO K-PAK, OLORCHE  OU CPR P', 'Sem referencia', 'SPA de pés', 'Penteado', 'Pezinho Masculino', 'Pigmentação de Barba', 'Unha de Gel - Manutenção', 'MATIZAÇÃO M', 'Postiça', 'Postiça Realista', 'Pure Repair P.H', 'Pintura Sobrancelhas - Henna', 'Hidratação Wella', 'Lavar e Secar P', 'Design de Sobrancelha', 'Aplicação de cílios', 'BABYLISS  P', 'BABYLISS M', 'Banho em Gel', 'Barba', 'Base', 'Cabelo e Barba', 'Coloração Keune', 'Coloração Keune Ruivo', 'Corte - Franja', 'Corte Infantil', 'Corte Masculino', 'Corte Parceria', 'Escova GG', 'Lavar e Secar M', 'Escova e Prancha', 'Escova+ PRANCHA  P', 'Esmaltação  - ESPECIAL', 'Esmaltação - Pés', 'Hidratação Previa', 'Hidratação Senscience, Olorche, Keune, Joico G', 'Hidratação Senscience, Olorche, Keune, Joico P', 'Hidratação Senscience, Orloche, Keune, Joico M', 'Hidratação Takae G', 'Hidratação Takae GG', 'Hidratação Takae M', 'Hidratação Takae P', 'Lavar e Secar G', 'hidratação Muzza']"
237,"['Manicure', 'Escova G', '#NOME?', 'Manicure e Pedicure', 'Pedicure', 'Esmaltação - Mãos', 'Terapia Capilar pacote', 'Pure Repair P.H', 'Escova M', 'LIXAR PÉS', 'Hidratação Previa', 'Hidratação Takae M', 'Cabelo e Barba', 'Penteado', 'Corte FEMININO', 'Manicure e Pedicure - Francesinha', 'Corte Masculino', 'Unha de Gel - Manutenção', 'Nutrição KEUNE YOU M', 'Mechas', 'Nutrição KEUNE YOU G', 'Manutenção volume brasileiro', 'Nutrição KEUNE YOU P', 'Manutenção Soft Gel', 'Manutenção Banho em Gel', 'Unha Artística/Decorada', 'Pezinho Masculino', 'Nutrição P.H', 'Top Coat em gel', 'Lavar e Secar P', 'Pigmentação de Barba', 'Pintura Sobrancelhas - Henna', 'Postiça', 'Postiça Realista', 'Reconstrução JOICO K-PAK, OLORCHE  OU CPR P', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR G', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR M', 'Remoção', 'SPA de pés', 'Sem referencia', 'Terapia Capilar com ozonio', 'MATIZAÇÃO M', 'Hidratação Wella', 'Lavar e Secar M', 'Corte Parceria', 'Aplicação de Coloração do cliente raiz', 'Aplicação de Coloração total do cliente', 'Aplicação de cílios', 'BABYLISS  G', 'BABYLISS  P', 'BABYLISS M', 'Banho em Gel', 'Barba', 'Base', 'Cilios 3, 4, 5 D', 'Coloração Keune', 'Coloração Keune Ruivo', 'Corte - Franja', 'Corte Infantil', 'Design de Sobrancelha', 'Lavar e Secar G', 'Escova GG', 'Escova P', 'Escova e Prancha', 'Escova+ PRANCHA  P', 'Esmaltação  - ESPECIAL', 'Esmaltação - Pés', 'Hidratação Senscience, Olorche, Keune, Joico G', 'Hidratação Senscience, Olorche, Keune, Joico P', 'Hidratação Senscience, Orloche, Keune, Joico M', 'Hidratação Takae G', 'Hidratação Takae GG', 'Hidratação Takae P', 'Alongamento Soft Gel', 'Lavar', 'hidratação Muzza']"
112,"['Corte Masculino', 'Coloração Keune', 'Manicure', 'Manicure e Pedicure', '#NOME?', 'Hidratação Takae P', 'Pedicure', 'Corte FEMININO', 'Hidratação Takae M', 'Hidratação Senscience, Orloche, Keune, Joico M', 'Hidratação Senscience, Olorche, Keune, Joico P', 'Escova M', 'Lavar e Secar P', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR M', 'Remoção', 'SPA de pés', 'Reconstrução JOICO K-PAK, OLORCHE  OU CPR P', 'Mechas', 'MATIZAÇÃO M', 'Unha de Gel - Manutenção', 'Unha Artística/Decorada', 'Top Coat em gel', 'Terapia Capilar pacote', 'Manicure e Pedicure - Francesinha', 'Manutenção Banho em Gel', 'Terapia Capilar com ozonio', 'Sem referencia', 'Manutenção Soft Gel', 'Manutenção volume brasileiro', 'Nutrição KEUNE YOU M', 'Nutrição KEUNE YOU G', 'Pure Repair P.H', 'Nutrição KEUNE YOU P', 'Nutrição P.H', 'Penteado', 'Lavar e Secar M', 'Pigmentação de Barba', 'Pintura Sobrancelhas - Henna', 'Postiça', 'Reconstrução JOICO K-PAK,OLORCHE OU CPR G', 'Postiça Realista', 'Pezinho Masculino', 'Hidratação Wella', 'Lavar e Secar G', 'Corte Parceria', 'Aplicação de Coloração do cliente raiz', 'Aplicação de Coloração total do cliente', 'Aplicação de cílios', 'BABYLISS  G', 'BABYLISS  P', 'BABYLISS M', 'Banho em Gel', 'Barba', 'Base', 'Cabelo e Barba', 'Cilios 3, 4, 5 D', 'Coloração Keune Ruivo', 'Corte - Franja', 'Corte Infantil', 'Design de Sobrancelha', 'Lavar', 'Escova G', 'Escova GG', 'Escova P', 'Escova e Prancha', 'Escova+ PRANCHA  P', 'Esmaltação  - ESPECIAL', 'Esmaltação - Mãos', 'Esmaltação - Pés', 'Hidratação Previa', 'Hidratação Senscience, Olorche, Keune, Joico G', 'Hidratação Takae G', 'Hidratação Takae GG', 'Alongamento Soft Gel', 'LIXAR PÉS', 'hidratação Muzza']"
